strategy,block_size,budget_bytes,admitted_count,next_rejected_context,used_bytes,assigned_bytes,reserved_tensor_bytes,wasted_assigned_bytes,assigned_utilization_percent,maximum_logit_error,retained_requests_dynamic_relocation_copy_bytes,retained_requests_dynamic_allocation_count,retained_requests_dynamic_reallocation_count,retained_requests_dynamic_growth_seconds,largest_layer_dynamic_growth_live_bytes,largest_layer_dynamic_growth_extra_bytes,retained_requests_gather_copy_bytes,largest_single_layer_gather_output_bytes,retained_requests_gather_seconds,order,capacity_ratio,capacity_ratio_vs_dynamic
contiguous,,51118080,2,256,4030464,51118080,51118080,47087616,7.884615384615385,0.0,0,0,0,0,0,0,0,0,0.0,ascending,1.0,0.2857142857142857
dynamic,,51118080,7,1536,40452096,40452096,40452096,0,100.0,0.0,160948224,840,672,0.1596825544256717,1052160,525824,0,0,0.0,ascending,3.5,1.0
block,8,51118080,7,1536,40452096,40796160,51118080,344064,99.1566265060241,0.0,0,0,0,0,0,0,201400320,526336,2.034388316096738,ascending,3.5,1.0
block,16,51118080,7,1536,40452096,41484288,51118080,1032192,97.51184834123222,0.0,0,0,0,0,0,0,201400320,526336,1.1722207823768258,ascending,3.5,1.0
block,32,51118080,7,1536,40452096,42860544,51118080,2408448,94.38073394495413,0.0,0,0,0,0,0,0,201400320,526336,0.7892260344233364,ascending,3.5,1.0
contiguous,,51118080,2,1024,44138496,51118080,51118080,6979584,86.34615384615384,0.0,0,0,0,0,0,0,0,0,0.0,descending,1.0,1.0
dynamic,,51118080,2,1024,44138496,44138496,44138496,0,100.0,0.0,176308224,240,192,0.05138703645206988,2100736,1050112,0,0,0.0,descending,1.0,1.0
block,8,51118080,2,1024,44138496,44236800,51118080,98304,99.77777777777777,0.0,0,0,0,0,0,0,220446720,1050624,1.5779954963363707,descending,1.0,1.0
block,16,51118080,2,1024,44138496,44433408,51118080,294912,99.33628318584071,0.0,0,0,0,0,0,0,220446720,1050624,0.8418484595604241,descending,1.0,1.0
block,32,51118080,2,1024,44138496,44826624,51118080,688128,98.46491228070175,0.0,0,0,0,0,0,0,220446720,1050624,0.5582970750983804,descending,1.0,1.0
contiguous,,102236160,4,512,11993088,102236160,102236160,90243072,11.73076923076923,0.0,0,0,0,0,0,0,0,0,0.0,ascending,1.0,0.3076923076923077
dynamic,,102236160,13,512,96583680,96583680,96583680,0,100.0,0.0,384737280,1560,1248,0.415432263398543,2100736,1050112,0,0,0.0,ascending,3.25,1.0
block,8,102236160,13,512,96583680,97222656,102236160,638976,99.3427704752275,0.0,0,0,0,0,0,0,481320960,1050624,4.286760847317055,ascending,3.25,1.0
block,16,102236160,13,512,96583680,98500608,102236160,1916928,98.05389221556887,0.0,0,0,0,0,0,0,481320960,1050624,2.3538614735007286,ascending,3.25,1.0
block,32,102236160,13,512,96583680,101056512,102236160,4472832,95.57392996108949,0.0,0,0,0,0,0,0,481320960,1050624,1.5357111361809075,ascending,3.25,1.0
contiguous,,102236160,4,512,66256896,102236160,102236160,35979264,64.8076923076923,0.0,0,0,0,0,0,0,0,0,0.0,descending,1.0,0.4444444444444444
dynamic,,102236160,9,2048,84590592,84590592,84590592,0,100.0,0.0,337256448,1080,864,0.31393288052640855,2100736,1050112,0,0,0.0,descending,2.25,1.0
block,8,102236160,9,2048,84590592,85032960,102236160,442368,99.47976878612717,0.0,0,0,0,0,0,0,421847040,1050624,3.440445818239823,descending,2.25,1.0
block,16,102236160,9,2048,84590592,85917696,102236160,1327104,98.45537757437071,0.0,0,0,0,0,0,0,421847040,1050624,2.219270407455042,descending,2.25,1.0
block,32,102236160,9,2048,84590592,87687168,102236160,3096576,96.46860986547085,0.0,0,0,0,0,0,0,421847040,1050624,1.4594455782789737,descending,2.25,1.0
