context,requests,variant,dynamic_relocation_copy_bytes,block_gather_copy_bytes,append_copy_bytes,largest_layer_growth_live_bytes,largest_layer_gather_output_bytes,dynamic_growth_seconds,block_gather_seconds,prefill_budget_bytes,prefill_usable_budget_bytes,prefill_active_sequences,prefill_reserved_tensor_bytes,prefill_committed_capacity_bytes,prefill_assigned_bytes,prefill_used_bytes,prefill_wasted_assigned_bytes,prefill_promised_unassigned_bytes,prefill_uncommitted_usable_bytes,prefill_free_pool_bytes,prefill_unreserved_budget_bytes
128,1,contiguous,0,0,1658880,0,0,0,0.0,25559040,25559040,1,25559040,25559040,25559040,1572864,23986176,0,0,0,0
128,1,dynamic,11268096,0,1658880,137728,0,0.032038789009675384,0.0,25559040,25559040,1,1572864,1658880,1572864,1572864,0,86016,23900160,0,23986176
128,1,block8,0,12926976,1658880,0,69120,0,0.0938702099956572,25559040,25559040,1,25559040,1671168,1572864,1572864,0,98304,23887872,23986176,0
128,1,block16,0,12926976,1658880,0,69120,0,0.0712575763463974,25559040,25559040,1,25559040,1769472,1572864,1572864,0,196608,23789568,23986176,0
128,1,block32,0,12926976,1658880,0,69120,0,0.05378095665946603,25559040,25559040,1,25559040,1966080,1572864,1572864,0,393216,23592960,23986176,0
128,2,contiguous,0,0,3317760,0,0,0,0.0,51118080,51118080,2,51118080,51118080,51118080,3145728,47972352,0,0,0,0
128,2,dynamic,22536192,0,3317760,137728,0,0.058385871117934585,0.0,51118080,51118080,2,3145728,3317760,3145728,3145728,0,172032,47800320,0,47972352
128,2,block8,0,25853952,3317760,0,69120,0,0.20659078657627106,51118080,51118080,2,51118080,3342336,3145728,3145728,0,196608,47775744,47972352,0
128,2,block16,0,25853952,3317760,0,69120,0,0.1481538792140782,51118080,51118080,2,51118080,3538944,3145728,3145728,0,393216,47579136,47972352,0
128,2,block32,0,25853952,3317760,0,69120,0,0.10436002723872662,51118080,51118080,2,51118080,3932160,3145728,3145728,0,786432,47185920,47972352,0
128,4,contiguous,0,0,6635520,0,0,0,0.0,102236160,102236160,4,102236160,102236160,102236160,6291456,95944704,0,0,0,0
