context,repeat,variant,block_size,used_bytes,assigned_bytes,reserved_bytes,wasted_bytes,assigned_utilization,reserved_utilization
128,0,contiguous,,1609728,25559040,25559040,23949312,6.298076923076923,6.298076923076923
128,0,block8,8,1609728,1671168,25559040,61440,96.32352941176471,6.298076923076923
128,0,block16,16,1609728,1769472,25559040,159744,90.97222222222223,6.298076923076923
128,0,block32,32,1609728,1966080,25559040,356352,81.875,6.298076923076923
128,1,contiguous,,1609728,25559040,25559040,23949312,6.298076923076923,6.298076923076923
128,1,block8,8,1609728,1671168,25559040,61440,96.32352941176471,6.298076923076923
128,1,block16,16,1609728,1769472,25559040,159744,90.97222222222223,6.298076923076923
128,1,block32,32,1609728,1966080,25559040,356352,81.875,6.298076923076923
192,0,contiguous,,2396160,25559040,25559040,23162880,9.375,9.375
192,0,block8,8,2396160,2457600,25559040,61440,97.5,9.375
192,0,block16,16,2396160,2555904,25559040,159744,93.75,9.375
192,0,block32,32,2396160,2752512,25559040,356352,87.05357142857143,9.375
192,1,contiguous,,2396160,25559040,25559040,23162880,9.375,9.375
192,1,block8,8,2396160,2457600,25559040,61440,97.5,9.375
192,1,block16,16,2396160,2555904,25559040,159744,93.75,9.375
192,1,block32,32,2396160,2752512,25559040,356352,87.05357142857143,9.375
256,0,contiguous,,3182592,25559040,25559040,22376448,12.451923076923077,12.451923076923077
256,0,block8,8,3182592,3244032,25559040,61440,98.10606060606061,12.451923076923077
256,0,block16,16,3182592,3342336,25559040,159744,95.22058823529412,12.451923076923077
256,0,block32,32,3182592,3538944,25559040,356352,89.93055555555556,12.451923076923077
256,1,contiguous,,3182592,25559040,25559040,22376448,12.451923076923077,12.451923076923077
256,1,block8,8,3182592,3244032,25559040,61440,98.10606060606061,12.451923076923077
256,1,block16,16,3182592,3342336,25559040,159744,95.22058823529412,12.451923076923077
256,1,block32,32,3182592,3538944,25559040,356352,89.93055555555556,12.451923076923077
384,0,contiguous,,4755456,25559040,25559040,20803584,18.60576923076923,18.60576923076923
384,0,block8,8,4755456,4816896,25559040,61440,98.72448979591837,18.60576923076923
384,0,block16,16,4755456,4915200,25559040,159744,96.75,18.60576923076923
384,0,block32,32,4755456,5111808,25559040,356352,93.02884615384616,18.60576923076923
384,1,contiguous,,4755456,25559040,25559040,20803584,18.60576923076923,18.60576923076923
384,1,block8,8,4755456,4816896,25559040,61440,98.72448979591837,18.60576923076923
384,1,block16,16,4755456,4915200,25559040,159744,96.75,18.60576923076923
384,1,block32,32,4755456,5111808,25559040,356352,93.02884615384616,18.60576923076923
512,0,contiguous,,6328320,25559040,25559040,19230720,24.759615384615383,24.759615384615383
512,0,block8,8,6328320,6389760,25559040,61440,99.03846153846153,24.759615384615383
512,0,block16,16,6328320,6488064,25559040,159744,97.53787878787878,24.759615384615383
512,0,block32,32,6328320,6684672,25559040,356352,94.66911764705883,24.759615384615383
512,1,contiguous,,6328320,25559040,25559040,19230720,24.759615384615383,24.759615384615383
512,1,block8,8,6328320,6389760,25559040,61440,99.03846153846153,24.759615384615383
512,1,block16,16,6328320,6488064,25559040,159744,97.53787878787878,24.759615384615383
512,1,block32,32,6328320,6684672,25559040,356352,94.66911764705883,24.759615384615383
768,0,contiguous,,9474048,25559040,25559040,16084992,37.06730769230769,37.06730769230769
768,0,block8,8,9474048,9535488,25559040,61440,99.35567010309278,37.06730769230769
768,0,block16,16,9474048,9633792,25559040,159744,98.34183673469387,37.06730769230769
768,0,block32,32,9474048,9830400,25559040,356352,96.375,37.06730769230769
768,1,contiguous,,9474048,25559040,25559040,16084992,37.06730769230769,37.06730769230769
768,1,block8,8,9474048,9535488,25559040,61440,99.35567010309278,37.06730769230769
768,1,block16,16,9474048,9633792,25559040,159744,98.34183673469387,37.06730769230769
768,1,block32,32,9474048,9830400,25559040,356352,96.375,37.06730769230769
1024,0,contiguous,,12619776,25559040,25559040,12939264,49.375,49.375
1024,0,block8,8,12619776,12681216,25559040,61440,99.51550387596899,49.375
1024,0,block16,16,12619776,12779520,25559040,159744,98.75,49.375
1024,0,block32,32,12619776,12976128,25559040,356352,97.25378787878788,49.375
1024,1,contiguous,,12619776,25559040,25559040,12939264,49.375,49.375
1024,1,block8,8,12619776,12681216,25559040,61440,99.51550387596899,49.375
1024,1,block16,16,12619776,12779520,25559040,159744,98.75,49.375
1024,1,block32,32,12619776,12976128,25559040,356352,97.25378787878788,49.375
1536,0,contiguous,,18911232,25559040,25559040,6647808,73.99038461538461,73.99038461538461
1536,0,block8,8,18911232,18972672,25559040,61440,99.6761658031088,73.99038461538461
1536,0,block16,16,18911232,19070976,25559040,159744,99.16237113402062,73.99038461538461
1536,0,block32,32,18911232,19267584,25559040,356352,98.15051020408163,73.99038461538461
1536,1,contiguous,,18911232,25559040,25559040,6647808,73.99038461538461,73.99038461538461
1536,1,block8,8,18911232,18972672,25559040,61440,99.6761658031088,73.99038461538461
1536,1,block16,16,18911232,19070976,25559040,159744,99.16237113402062,73.99038461538461
1536,1,block32,32,18911232,19267584,25559040,356352,98.15051020408163,73.99038461538461
2048,0,contiguous,,25202688,25559040,25559040,356352,98.60576923076923,98.60576923076923
2048,0,block8,8,25202688,25264128,25559040,61440,99.7568093385214,98.60576923076923
2048,0,block16,16,25202688,25362432,25559040,159744,99.37015503875969,98.60576923076923
2048,0,block32,32,25202688,25559040,25559040,356352,98.60576923076923,98.60576923076923
2048,1,contiguous,,25202688,25559040,25559040,356352,98.60576923076923,98.60576923076923
2048,1,block8,8,25202688,25264128,25559040,61440,99.7568093385214,98.60576923076923
2048,1,block16,16,25202688,25362432,25559040,159744,99.37015503875969,98.60576923076923
2048,1,block32,32,25202688,25559040,25559040,356352,98.60576923076923,98.60576923076923
